Zip Code,Population
13066,12299
11940,4347
12188,10610
10970,9222
10901,21760
10501,843
12150,836
12520,2918
10992,9367
13319,1018
14127,27762
13031,14977
14048,16097
13834,170
10940,42860
12482,452
12518,6276
12565,1936
11961,12664
14072,18621
11960,822
13502,33505
13790,19713
13057,14845
12302,27001
12077,5719
14586,6197
13062,131
12159,7646
14047,6833
12401,35722
14092,11121
10964,1282
12306,24581
12866,34570
13664,340
11719,2965
11947,218
14901,17845
11941,2275
11942,3981
10546,1224
12486,1595
12008,431
13850,26685
10974,3183
12538,12653
14721,102
12198,7295
11568,3992
14031,8769
10577,3454
11971,5575
10930,7400
13041,9818
14850,63396
13903,19282
10509,18913
14701,42904
10526,1652
10590,7212
11952,4680
10928,5358
10917,1650
12019,13320
12586,11527
14102,1111
14480,641
12804,24083
11968,12032
12533,22254
13027,29108
12061,7872
11901,22897
12472,1654
14425,9658
10536,10612
12513,1043
12901,32253
12979,2450
10504,7185
10980,12670
10921,3879
11963,6664
12771,13847
13215,14461
14094,51376
10527,1097
11977,2143
12027,3659
10512,23924
11569,1559
13341,54
14555,1287
14006,10884
10941,13118
14506,1289
13904,9619
12563,7252
13638,363
14750,4623
14559,15919
13838,4956
10931,881
12839,11945
13440,44797
12051,6905
14083,43
13616,2341
11770,190
13126,36454
11949,11385
12020,28068
12542,5818
12570,5884
11980,4221
14903,7600
13357,11555
11939,777
13021,41704
12118,11767
10918,11492
14020,23055
14059,8937
10963,4660
13421,13192
10578,661
10519,156
11948,903
14420,19307
10924,12308
13748,4067
11935,3444
13313,620
13029,5684
13350,9878
10506,5537
14760,20510
11765,732
11956,316
12733,1608
10518,1552
14468,16526
10990,19315
12821,3219
12547,2350
11937,13289
12477,20199
13104,14414
12419,315
13859,213
12086,1554
12577,1614
14513,14858
14716,3641
12196,2841
13323,11772
12561,17435
12528,12770
10986,1739
13601,36990
14203,1009
11959,1015
12515,1068
14063,14690
14052,18248
12582,4550
14519,11020
13732,8380
12569,8842
14456,20216
13403,7919
12151,706
14464,7637
12033,8188
12721,5513
14502,9197
11978,3800
14568,5874
12015,2832
14814,1747
12571,11834
13045,29174
12759,1683
14845,19892
12143,5348
12589,13261
10973,1887
14004,12241
12489,290
12063,192
12594,3618
14564,9903
12548,1528
12439,107
14174,5742
10597,445
13602,4651
12443,3859
14032,5553
10560,4941
12779,1544
13424,2744
14034,6105
14830,19342
12010,28544
14132,5572
10985,57
12754,7130
13069,26451
12831,14204
10579,7945
12498,5417
14136,5429
14808,595
12095,12911
14108,5938
11954,3851
13037,8772
12549,8670
13078,8625
10524,4232
12463,1360
10171,1
13469,807
13120,2998
10576,4530
12534,18686
12531,3051
12481,1269
14892,8258
12841,87
14894,2531
12148,2929
13108,6057
12540,6633
14874,216
13082,5012
13135,5750
12158,5779
12186,6461
12078,23853
11965,1080
13820,21058
14454,10207
11933,5857
13060,2852
13795,3770
12491,1610
13030,4272
14522,8766
14424,24878
10916,4070
12184,7273
12580,3869
12487,3856
13662,16729
12751,387
13036,8462
12701,11522
12974,1540
13132,4310
12828,8358
11958,445
12566,11061
12572,9960
14589,7653
10919,562
12140,1303
14487,5786
14481,3676
12792,295
12413,2673
14057,8276
14170,2633
12173,2357
10926,3275
14472,8140
12170,5037
13669,17892
10516,5190
11964,1148
14432,6106
12789,1677
14414,6428
12583,2427
13456,4277
12956,2036
13148,10913
13607,2017
12585,956
12414,11641
13165,10828
11932,1429
11975,398
14028,1737
14548,4149
11976,1822
12470,729
13032,12427
12018,7513
12564,6644
10998,3648
12106,2297
12903,44
12123,5245
12009,7628
13346,5735
14475,223
11930,1167
14872,480
14470,8953
14870,9347
14428,7539
14069,785
12428,8367
14001,9289
14733,4019
12849,445
13490,1710
12451,1496
14546,5479
13076,2344
13080,3553
14103,11612
13166,6107
14482,9198
14585,273
13655,2558
14843,13383
14505,5908
14787,5487
13476,3219
12788,2935
14172,3230
14551,5596
12578,2105
13827,11823
12575,2089
13815,14019
13340,7937
12025,5683
12871,4033
12747,1939
12962,5967
14712,3533
13612,2711
14485,4593
12507,108
10958,2967
13152,8453
12192,2270
12863,596
12043,8207
13053,4413
14131,5307
14025,3141
14411,14676
14530,5780
13164,1759
14543,3296
13833,4463
12775,1666
12749,251
12041,14
12778,735
12484,2540
14865,2699
12433,404
14882,3943
13685,2206
12522,5691
13637,3849
13145,1874
14011,8170
12405,454
14816,624
12070,1276
12833,4492
12460,376
13308,4867
12068,3999
13074,4340
12056,2219
12791,448
14033,2062
13363,2397
12526,3638
13304,1655
14769,1024
13073,6000
14070,5735
14489,7669
12752,145
13428,1698
14532,4392
12859,1984
12748,1929
14125,3839
12090,6189
14478,1364
12037,4017
14416,3875
13408,3908
14744,2282
13068,5038
13619,11112
13077,6823
13676,17029
13084,4215
14141,7858
13114,6462
12440,2010
11957,662
10170,1
14864,1427
12514,2854
13777,1049
14042,4553
14105,4483
13668,3173
14067,5128
10969,1084
12525,2868
14437,12296
13035,8065
12420,369
14423,4953
14770,3269
14810,12536
13478,3219
12125,1493
12404,3772
13407,5724
13167,3449
12157,3987
12845,4801
13744,1202
13160,1856
14036,5243
14545,203
12838,649
14466,1593
14476,2623
12134,2623
14471,2861
12844,269
13110,2472
14706,7596
13746,2203
12785,186
12035,1287
14081,3418
13624,5810
14527,12970
12185,2096
14469,5982
12121,1806
10975,307
13112,1922
13142,6595
12972,5615
14779,7352
13365,8926
14895,10311
13406,710
13140,4915
14886,6441
12431,1463
13034,1933
14516,2672
14111,3160
13317,3809
12822,5721
14139,2031
14871,4908
12516,1806
14080,4727
14517,2801
14569,6481
14891,4409
12729,1302
13054,2162
12067,1854
14590,5385
12493,547
12592,1214
12545,4850
13802,743
12075,3106
14867,5430
14521,3624
13634,3825
14039,117
13044,2776
12742,132
13425,1970
14757,3875
12953,16270
12832,7199
13042,2479
11962,405
13617,10942
12921,2392
13322,1104
12523,1976
12083,3154
13862,3936
12094,2163
12746,1144
13143,3416
12919,2957
14143,1347
14533,2320
13861,652
13328,1266
13131,4029
13812,2454
12790,5454
14422,2518
12137,1544
12423,1041
13156,2313
14012,2603
14869,1435
11430,229
12058,1400
12918,2781
14009,5695
14435,2733
14710,3961
12834,6678
14718,2183
12780,2117
12412,927
13811,4348
14030,1617
12501,2340
14415,62
12416,87
13480,3459
12117,3223
12763,766
12485,1480
13606,2727
10987,3148
12446,4925
14040,2331
12765,836
12053,4497
14550,1732
13159,5277
12727,23
13667,3524
14433,4679
13460,4424
12434,663
14571,1119
13033,4544
12816,4845
6390,289
14544,1908
12860,1150
13028,1380
14037,1067
14510,5094
14572,5282
14777,620
13409,2181
13329,3976
13477,1398
12546,3103
13694,1360
13797,2405
12154,2704
13310,491
14837,5314
13673,2349
12029,1387
13118,6728
13101,2309
13675,98
14715,3277
12734,837
12074,3195
13026,1841
12762,342
12809,3667
12766,456
12885,4646
12059,1843
13849,5151
14477,1689
13450,219
13825,3535
13339,6787
13809,1372
12846,3162
13452,4408
14427,2181
12092,861
14841,773
13111,1748
13778,6389
12787,223
13301,219
12992,4533
13642,10329
12160,1177
13743,3807
12770,272
12457,1123
13122,1209
13787,3642
12883,5160
12723,2251
14098,2896
13354,3090
13734,2511
14847,2411
12935,5494
14145,1732
13865,6507
12517,317
14525,2971
14821,3503
12567,2938
14008,1489
12028,1100
12116,1807
14058,2325
12741,252
13796,1190
12066,1797
12062,1728
12057,1713
14561,2875
12031,130
13605,4615
12046,934
14560,2134
13733,4874
13318,1429
14840,3406
14842,909
14738,3800
12719,1012
14736,289
12494,714
13753,5474
12887,4710
14005,1753
12581,2231
14838,2105
14129,1812
12461,1781
12156,923
14065,2003
12865,3152
12850,2242
12738,320
13326,5598
12783,2169
13807,1319
14055,1469
12168,2083
12042,812
13730,2982
14857,9
14747,2436
12072,2545
12193,2117
14772,4274
13750,1305
14883,3866
12165,236
14881,161
14726,2144
14812,3932
13402,1694
12064,480
14091,1135
14879,1985
14740,1138
14825,918
12429,51
13431,1840
13334,1526
12149,2008
13092,2498
14462,632
13780,923
12957,1798
13620,2499
14782,2932
14817,2282
14803,1241
13146,2541
12958,1737
14082,428
13491,3784
14775,2736
14801,5427
13333,142
14591,1570
14101,1949
14167,1646
13483,160
12965,489
12176,175
14727,5366
13063,2027
13468,459
14815,973
13418,325
12052,1000
14062,3351
14878,747
12944,4402
13808,1894
14809,2610
12837,849
14013,1822
13803,4225
14054,1361
14823,3985
12937,1524
13332,2400
13411,3332
12409,464
14507,1385
13864,1085
13439,3893
12136,875
13368,1162
14541,2006
12916,1857
13754,3437
12521,1499
12946,8098
13841,399
12736,152
14860,1142
13438,4364
14861,1459
13141,789
12458,2243
14512,4668
13786,435
13416,2228
12737,1500
14818,1842
12960,1019
14113,775
13337,868
12926,2083
13830,5144
13459,2047
14858,1783
12115,242
13071,1029
12167,2499
14711,1931
13471,3466
13061,930
12910,2340
13863,598
14754,545
12996,2129
14171,2180
13309,5942
13608,1618
14066,1514
14813,2538
12153,902
14728,1071
12726,1185
14805,1207
14755,2987
12122,4348
14807,3120
12920,2537
13661,2048
12529,2457
13144,1576
13335,1557
14748,660
14737,4275
12496,1097
13081,1189
14767,1910
13316,6664
14743,2034
13314,939
14138,2144
13843,1720
13622,2082
12138,3678
14719,3561
12784,59
12087,504
13348,1359
14739,2968
12817,2187
13776,797
12120,539
13660,2014
13736,2342
12060,1396
14731,1773
14826,2254
13842,538
13839,1666
14889,1458
14897,890
14418,1481
12023,2121
13691,2729
12459,354
12442,608
13775,1735
10020,1
13680,1303
13835,1545
12422,291
13654,2329
14536,664
13052,1631
12732,900
12983,7148
14806,2302
12823,190
14784,1012
13303,1190
13856,6568
12187,684
12824,735
12959,1467
12448,218
12418,612
12197,2397
12022,813
14880,1644
14873,2422
12473,736
14709,1510
12435,261
13697,2165
14824,869
13625,1882
12941,1429
14741,2076
13804,389
13147,1204
14735,2643
14724,2577
12966,2836
13614,289
13810,1296
13844,1034
13302,1556
13464,1341
12175,950
12786,665
12814,1552
13343,1752
14855,841
12724,296
12166,1501
12873,808
12914,1163
14723,1262
12147,528
12502,1114
14836,1103
13656,2655
12827,3815
13486,832
12917,1312
13613,2450
13433,1732
12468,1349
12740,2088
14859,1137
13493,2199
14753,1212
13788,912
13846,342
12503,830
13083,1759
12036,265
12768,1030
13658,2356
12454,552
13690,1139
14781,2149
13757,1107
12155,1742
12764,1717
12928,2122
12444,451
14714,345
13136,621
12952,583
13832,675
13682,891
14822,1130
14729,1025
13355,692
13158,2036
12474,1011
13630,1402
14060,441
13485,945
13040,2831
12758,4339
13072,1043
12455,2082
13774,286
12911,35
13315,1397
12430,1129
13650,1319
12986,6507
13361,724
14024,1741
12967,1099
14804,1522
13124,135
13342,232
12495,189
12993,1704
13813,916
14820,804
14898,1497
14783,412
13155,677
13626,2169
13320,2171
13755,1126
14717,779
13679,1727
12169,166
12981,2673
12406,892
13652,1931
12093,1404
13621,699
13783,2497
13473,759
13640,326
14846,766
12835,2882
13739,966
12464,1173
13635,1081
13681,820
12450,430
12407,469
13618,1796
12071,279
13801,1333
12912,2138
13693,470
13665,827
12421,777
12815,955
12945,736
13489,763
13367,8435
12913,1194
13782,777
12861,645
13646,2239
12469,783
13327,2148
14819,755
12076,1270
12930,571
14885,780
12932,1406
12853,2082
12743,303
13756,518
12032,835
12886,84
12017,288
12776,2473
14839,728
13324,1989
12836,678
14708,171
12194,215
13752,715
12492,281
12970,1450
13740,568
12808,285
12410,820
13633,319
12985,1187
12843,665
12934,1126
12936,479
12870,1677
12720,168
12950,749
12424,303
12480,787
12777,781
13648,2427
14884,309
12955,401
12810,643
13731,1275
14877,651
13639,191
12164,476
12760,729
13420,1587
12131,217
12987,326
12923,657
13687,333
13312,689
13470,705
12942,670
12961,171
13475,7
13325,949
13659,544
13454,712
12878,714
12819,364
12874,176
13360,412
12989,853
12427,381
12857,502
12980,1347
12842,1345
13684,982
13338,1619
13437,497
12964,142
12927,258
12108,419
12969,554
12851,366
13670,613
12190,737
12725,260
13436,123
13331,293
12856,224
12943,391
12858,48
13672,367
12852,481
12812,126
12847,723
12139,272
12855,263
13353,151
12922,58
