New York Energy Production Estimates 2016
https://www.eia.gov/state/?sid=NY#tabs-3
22:34:16 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration, State Energy Data System
Category,New York Energy Production Estimates Trillion Btu
Coal,0
Natural Gas - Marketed,13.9
Crude Oil,1.3
Nuclear Electric Power,434.8
Biofuels,23.2
Other Renewable Energy,372.9
