Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1N4AZ0CP0GC302681,PAS,OGDENSBURG     ,NY,13669,ST LAWRENCE ,2016,NISSA,4DSD,ELECTRIC,3256,,,09/26/2018,08/17/2020,WH   ,N,N,N
VEH ,1N4AZ0CP0FC329992,PAS,HOPEWELL JUNCT ,NY,12533,DUTCHESS    ,2015,NISSA,4DSD,ELECTRIC,3856,,,06/22/2017,06/21/2019,WH   ,N,N,N
VEH ,1N4AZ0CP0FC324825,PAS,POPLAR RIDGE   ,NY,13139,CAYUGA      ,2015,NISSA,4DSD,ELECTRIC,3243,,,06/21/2017,06/20/2019,BL   ,N,N,N
VEH ,1N4AZ0CP0FC324789,PAS,STUYVESANT     ,NY,12173,COLUMBIA    ,2015,NISSA,4DSD,ELECTRIC,3243,,,07/10/2017,07/09/2019,RD   ,N,N,N
VEH ,1N4AZ0CP0FC323190,PAS,ITHACA         ,NY,14850,TOMPKINS    ,2015,NISSA,4DSD,ELECTRIC,3243,,,11/17/2017,12/20/2019,GY   ,N,N,N
VEH ,1N4AZ0CP0FC321696,PAS,CROTON ON HUDS ,NY,10520,WESTCHESTER ,2015,NISSA,4DSD,ELECTRIC,3328,,,02/22/2017,02/21/2019,GY   ,N,N,N
VEH ,1N4AZ0CP0FC321553,PAS,YORKTOWN HGHTS ,NY,10598,WESTCHESTER ,2015,NISSA,4DSD,ELECTRIC,3243,,,01/12/2017,01/16/2019,BK   ,N,N,N
VEH ,1N4AZ0CP0FC320046,PAS,GROVELAND      ,NY,14462,LIVINGSTON  ,2015,NISSA,4DSD,ELECTRIC,3243,,,07/17/2017,11/25/2018,GY   ,N,N,N
VEH ,1N4AZ0CP0FC316725,PAS,HIGHLAND       ,NY,12528,ULSTER      ,2015,NISSA,4DSD,ELECTRIC,3256,,,02/21/2018,02/20/2020,GY   ,N,N,N
VEH ,1N4AZ0CP0FC315011,PAS,PLYMOUTH       ,NY,13832,CHENANGO    ,2015,NISSA,4DSD,ELECTRIC,3243,,,04/12/2018,04/11/2020,WH   ,N,N,N
